[16:34:43.019] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2311218, egress-ts=2321178, deq-depth = 12, deq-bytes=18000
[16:34:43.020] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2311763, egress-ts=2323171, deq-depth = 15, deq-bytes=22500
[16:34:43.023] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2311782, egress-ts=2324756, deq-depth = 15, deq-bytes=22500
[16:34:43.025] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2313114, egress-ts=2327227, deq-depth = 16, deq-bytes=24000
[16:34:43.027] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2313136, egress-ts=2330249, deq-depth = 22, deq-bytes=33000
[16:34:43.029] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2314083, egress-ts=2330881, deq-depth = 21, deq-bytes=31500
[16:34:43.029] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2314108, egress-ts=2332480, deq-depth = 21, deq-bytes=31500
[16:34:43.030] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2315934, egress-ts=2333057, deq-depth = 21, deq-bytes=31500
[16:34:43.031] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2316002, egress-ts=2334334, deq-depth = 21, deq-bytes=31500
[16:34:43.032] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2316774, egress-ts=2334996, deq-depth = 21, deq-bytes=31500
[16:34:43.033] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2316797, egress-ts=2336037, deq-depth = 20, deq-bytes=30000
[16:34:43.034] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2319041, egress-ts=2336944, deq-depth = 20, deq-bytes=30000
[16:34:43.035] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2319092, egress-ts=2338224, deq-depth = 22, deq-bytes=33000
[16:34:43.036] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2319989, egress-ts=2339211, deq-depth = 22, deq-bytes=33000
[16:34:43.037] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2320009, egress-ts=2340088, deq-depth = 22, deq-bytes=33000
[16:34:43.038] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2321403, egress-ts=2340979, deq-depth = 22, deq-bytes=33000
[16:34:43.040] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2321425, egress-ts=2342368, deq-depth = 24, deq-bytes=36000
[16:34:43.042] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2323108, egress-ts=2343799, deq-depth = 24, deq-bytes=36000
[16:34:43.043] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2323159, egress-ts=2346525, deq-depth = 31, deq-bytes=46500
[16:34:43.044] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2324004, egress-ts=2347260, deq-depth = 31, deq-bytes=46500
[16:34:43.044] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2324019, egress-ts=2347688, deq-depth = 30, deq-bytes=45000
[16:34:43.045] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2326202, egress-ts=2348139, deq-depth = 29, deq-bytes=43500
[16:34:43.045] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2326222, egress-ts=2348575, deq-depth = 28, deq-bytes=42000
[16:34:43.046] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2327956, egress-ts=2349145, deq-depth = 27, deq-bytes=40500
[16:34:43.047] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2328064, egress-ts=2350416, deq-depth = 26, deq-bytes=39000
[16:34:43.048] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2328817, egress-ts=2351427, deq-depth = 27, deq-bytes=40500
[16:34:43.049] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2328836, egress-ts=2352201, deq-depth = 27, deq-bytes=40500
[16:34:43.050] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2331051, egress-ts=2353393, deq-depth = 28, deq-bytes=42000
[16:34:43.051] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2331107, egress-ts=2354189, deq-depth = 28, deq-bytes=42000
[16:34:43.053] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2331735, egress-ts=2355534, deq-depth = 29, deq-bytes=43500
[16:34:43.054] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2331755, egress-ts=2356541, deq-depth = 30, deq-bytes=45000
[16:34:43.055] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2333933, egress-ts=2358529, deq-depth = 29, deq-bytes=43500
[16:34:43.056] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2333952, egress-ts=2359116, deq-depth = 29, deq-bytes=43500
[16:34:43.058] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2334966, egress-ts=2360429, deq-depth = 31, deq-bytes=46500
[16:34:43.059] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2334983, egress-ts=2362090, deq-depth = 30, deq-bytes=45000
[16:34:43.066] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2335816, egress-ts=2368568, deq-depth = 30, deq-bytes=45000
[16:34:43.071] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2335837, egress-ts=2371322, deq-depth = 32, deq-bytes=48000
[16:34:43.073] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2337783, egress-ts=2376157, deq-depth = 35, deq-bytes=52500
[16:34:43.074] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2337807, egress-ts=2377473, deq-depth = 34, deq-bytes=51000
[16:34:43.075] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2340927, egress-ts=2378400, deq-depth = 34, deq-bytes=51000
[16:34:43.076] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2340941, egress-ts=2379376, deq-depth = 34, deq-bytes=51000
[16:34:43.077] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2340956, egress-ts=2380352, deq-depth = 33, deq-bytes=49500
[16:34:43.078] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2340969, egress-ts=2381174, deq-depth = 32, deq-bytes=48000
[16:34:43.079] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2341796, egress-ts=2382150, deq-depth = 33, deq-bytes=49500
[16:34:43.082] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2342193, egress-ts=2384865, deq-depth = 32, deq-bytes=48000
[16:34:43.083] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2342766, egress-ts=2385426, deq-depth = 31, deq-bytes=46500
[16:34:43.083] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2343179, egress-ts=2386603, deq-depth = 30, deq-bytes=45000
[16:34:43.084] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2344818, egress-ts=2387260, deq-depth = 29, deq-bytes=43500
[16:34:43.085] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2345269, egress-ts=2388259, deq-depth = 28, deq-bytes=42000
[16:34:43.086] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2346039, egress-ts=2389302, deq-depth = 30, deq-bytes=45000
[16:34:43.088] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2346309, egress-ts=2390320, deq-depth = 30, deq-bytes=45000
[16:34:43.089] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2348842, egress-ts=2391640, deq-depth = 31, deq-bytes=46500
[16:34:43.090] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2348885, egress-ts=2392966, deq-depth = 33, deq-bytes=49500
[16:34:43.091] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2349798, egress-ts=2394039, deq-depth = 33, deq-bytes=49500
[16:34:43.092] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2349819, egress-ts=2394735, deq-depth = 33, deq-bytes=49500
[16:34:43.093] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2351000, egress-ts=2395963, deq-depth = 34, deq-bytes=51000
[16:34:43.094] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2351014, egress-ts=2397042, deq-depth = 35, deq-bytes=52500
[16:34:43.095] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2352782, egress-ts=2398101, deq-depth = 37, deq-bytes=55500
[16:34:43.096] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2352800, egress-ts=2399413, deq-depth = 38, deq-bytes=57000
[16:34:43.097] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2353674, egress-ts=2400321, deq-depth = 38, deq-bytes=57000
[16:34:43.098] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2353695, egress-ts=2401201, deq-depth = 38, deq-bytes=57000
[16:34:43.099] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2355829, egress-ts=2402235, deq-depth = 38, deq-bytes=57000
[16:34:43.100] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2355843, egress-ts=2403023, deq-depth = 38, deq-bytes=57000
[16:34:43.104] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2356667, egress-ts=2404901, deq-depth = 40, deq-bytes=60000
[16:34:43.106] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2357031, egress-ts=2408593, deq-depth = 48, deq-bytes=72000
[16:34:43.107] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2358109, egress-ts=2410444, deq-depth = 53, deq-bytes=79500
[16:34:43.109] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2358325, egress-ts=2411532, deq-depth = 53, deq-bytes=79500
[16:34:43.111] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2359814, egress-ts=2413538, deq-depth = 58, deq-bytes=87000
[16:34:43.113] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2359832, egress-ts=2415545, deq-depth = 62, deq-bytes=93000
[16:34:43.114] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2361032, egress-ts=2417094, deq-depth = 64, deq-bytes=96000
[16:34:43.116] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2361467, egress-ts=2418588, deq-depth = 63, deq-bytes=94500
[16:34:43.118] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2362899, egress-ts=2420066, deq-depth = 63, deq-bytes=94500
[16:34:43.119] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2363297, egress-ts=2421509, deq-depth = 63, deq-bytes=94500
[16:34:43.120] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2364630, egress-ts=2422521, deq-depth = 63, deq-bytes=94500
[16:34:43.121] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2364878, egress-ts=2424136, deq-depth = 63, deq-bytes=94500
[16:34:43.123] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2365863, egress-ts=2425372, deq-depth = 63, deq-bytes=94500
[16:34:43.124] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2366097, egress-ts=2427072, deq-depth = 63, deq-bytes=94500
